Contrast name:,Group (med)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],
,0.000000,1.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,1.119804,0.141180,7.931758,20.000000,0.000000,0.000000
2,1399,139,1.000000,0.837478,0.137502,6.090672,20.000000,0.000003,0.000007
3,4863,486,1.000000,0.616738,0.145316,4.244120,20.000000,0.000199,0.000298
4,5104,510,1.000000,0.342569,0.094041,3.642762,20.000000,0.000810,0.000971
5,888,88,1.000000,0.143900,0.138604,1.038212,20.000000,0.155781,0.155781
6,1015,101,1.000000,0.135653,0.088734,1.528760,20.000000,0.070993,0.079867
7,3526,352,1.000000,1.327916,0.156189,8.501994,20.000000,0.000000,0.000000
8,3381,338,1.000000,0.612208,0.114394,5.351749,20.000000,0.000015,0.000031
9,1858,185,1.000000,0.744415,0.118852,6.263364,20.000000,0.000002,0.000005
10,1770,177,1.000000,0.490732,0.099065,4.953629,20.000000,0.000038,0.000069
11,2147,214,1.000000,1.230070,0.140107,8.779497,20.000000,0.000000,0.000000
12,2371,237,1.000000,0.970577,0.132718,7.313061,20.000000,0.000000,0.000001
13,2447,244,1.000000,0.547826,0.084884,6.453838,20.000000,0.000001,0.000005
14,1345,134,1.000000,0.128727,0.086601,1.486446,20.000000,0.076378,0.080871
15,2065,206,1.000000,0.995535,0.155720,6.393109,20.000000,0.000002,0.000005
16,2222,222,1.000000,0.421446,0.096952,4.346938,20.000000,0.000156,0.000256
17,1615,161,1.000000,0.409905,0.104189,3.934239,20.000000,0.000410,0.000527
18,1958,195,1.000000,0.371475,0.092110,4.032958,20.000000,0.000326,0.000451
