Contrast name:,Group (lowmedhighlinear)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[2;1],c[2;2],c[2;3],c[2;4],c[3;1],c[3;2],c[3;3],c[3;4],c[4;1],c[4;2],c[4;3],c[4;4],
,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],h[1;2],h[1;3],h[1;4],stderr[1;1],stderr[1;2],stderr[1;3],stderr[1;4],T/F,dof,p,p-fdr
1,1038,103,1.000000,0.810227,1.119804,1.080051,0.269824,0.119956,0.141180,0.170335,0.084912,13.659893,17.000000,0.000037,0.000159
2,1399,139,1.000000,0.555849,0.837478,0.846124,0.290275,0.110142,0.137502,0.174803,0.110150,7.929453,17.000000,0.000848,0.001388
3,4863,486,1.000000,0.133503,0.616738,0.608436,0.474933,0.119968,0.145316,0.129621,0.093236,7.730899,17.000000,0.000968,0.001453
4,5104,510,1.000000,0.030467,0.342569,0.344637,0.314169,0.123596,0.094041,0.149072,0.114246,4.379001,17.000000,0.012913,0.013673
5,888,88,1.000000,-0.059680,0.143900,0.264667,0.324347,0.087236,0.138604,0.085407,0.097325,5.037784,17.000000,0.007295,0.009380
6,1015,101,1.000000,0.075202,0.135653,0.200971,0.125770,0.101112,0.088734,0.098365,0.072369,1.206032,17.000000,0.344411,0.344411
7,3526,352,1.000000,1.025504,1.327916,1.344138,0.318634,0.138709,0.156189,0.178134,0.090562,15.672013,17.000000,0.000015,0.000137
8,3381,338,1.000000,0.461077,0.612208,0.741431,0.280353,0.096260,0.114394,0.118753,0.066180,9.511205,17.000000,0.000316,0.000711
9,1858,185,1.000000,0.492951,0.744415,0.874581,0.381630,0.073551,0.118852,0.112726,0.067648,13.248517,17.000000,0.000044,0.000159
10,1770,177,1.000000,0.409370,0.490732,0.662042,0.252673,0.083050,0.099065,0.121981,0.080025,7.274624,17.000000,0.001322,0.001831
11,2147,214,1.000000,0.786282,1.230070,1.285903,0.499622,0.110249,0.140107,0.135232,0.070075,22.396849,17.000000,0.000001,0.000025
12,2371,237,1.000000,0.654306,0.970577,1.028869,0.374563,0.120849,0.132718,0.137946,0.074967,14.326407,17.000000,0.000027,0.000159
13,2447,244,1.000000,0.250029,0.547826,0.649301,0.399272,0.072816,0.084884,0.093427,0.065932,12.873060,17.000000,0.000053,0.000159
14,1345,134,1.000000,-0.101881,0.128727,0.237972,0.339853,0.084934,0.086601,0.116114,0.077805,4.697472,17.000000,0.009755,0.011707
15,2065,206,1.000000,0.709872,0.995535,1.072799,0.362928,0.137618,0.155720,0.180139,0.082966,9.709902,17.000000,0.000281,0.000711
16,2222,222,1.000000,0.142721,0.421446,0.627219,0.484497,0.077768,0.096952,0.157662,0.135756,4.395315,17.000000,0.012726,0.013673
17,1615,161,1.000000,0.072620,0.409905,0.540181,0.467561,0.099522,0.104189,0.118633,0.077754,8.438229,17.000000,0.000610,0.001098
18,1958,195,1.000000,0.165434,0.371475,0.438293,0.272859,0.090720,0.092110,0.096297,0.054015,8.998841,17.000000,0.000430,0.000860
