Contrast name:,Group (joke)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],
,1.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,average ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,50,1.000000,1.060712,0.170928,6.205605,20.000000,0.000002,0.000008
2,1399,50,1.000000,0.804357,0.153102,5.253720,20.000000,0.000019,0.000035
3,4863,50,1.000000,0.905846,0.177748,5.096249,20.000000,0.000028,0.000045
4,5104,50,1.000000,0.380053,0.127361,2.984056,20.000000,0.003667,0.004401
5,888,50,1.000000,0.195545,0.106694,1.832761,20.000000,0.040885,0.043290
6,1015,50,1.000000,0.146943,0.078694,1.867270,20.000000,0.038296,0.043083
7,3526,50,1.000000,1.337297,0.185260,7.218478,20.000000,0.000000,0.000002
8,3381,50,1.000000,0.779349,0.129811,6.003746,20.000000,0.000004,0.000008
9,1858,50,1.000000,0.842752,0.118683,7.100851,20.000000,0.000000,0.000002
10,1770,50,1.000000,0.630893,0.104088,6.061132,20.000000,0.000003,0.000008
11,2147,50,1.000000,1.230040,0.160553,7.661258,20.000000,0.000000,0.000001
12,2371,50,1.000000,1.090782,0.144464,7.550522,20.000000,0.000000,0.000001
13,2447,50,1.000000,0.585791,0.108477,5.400164,20.000000,0.000014,0.000028
14,1345,50,1.000000,0.111808,0.099697,1.121476,20.000000,0.137685,0.137685
15,2065,50,1.000000,1.193025,0.198492,6.010436,20.000000,0.000004,0.000008
16,2222,50,1.000000,0.469422,0.118465,3.962520,20.000000,0.000384,0.000494
17,1615,50,1.000000,0.510171,0.117608,4.337905,20.000000,0.000160,0.000239
18,1958,50,1.000000,0.494039,0.123533,3.999246,20.000000,0.000352,0.000488
