Contrast name:,Group (linear)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],
,0.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,average ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,50,1.000000,0.271291,0.097853,2.772439,20.000000,0.005875,0.007554
2,1399,50,1.000000,0.334329,0.123676,2.703267,20.000000,0.006840,0.008208
3,4863,50,1.000000,0.583711,0.144715,4.033532,20.000000,0.000325,0.000706
4,5104,50,1.000000,0.337972,0.134320,2.516178,20.000000,0.010256,0.011538
5,888,50,1.000000,0.293953,0.146351,2.008547,20.000000,0.029140,0.029140
6,1015,50,1.000000,0.161504,0.078710,2.051877,20.000000,0.026753,0.028327
7,3526,50,1.000000,0.366437,0.112877,3.246345,20.000000,0.002022,0.003309
8,3381,50,1.000000,0.323273,0.086297,3.746070,20.000000,0.000636,0.001146
9,1858,50,1.000000,0.382778,0.078867,4.853480,20.000000,0.000048,0.000144
10,1770,50,1.000000,0.293118,0.102424,2.861793,20.000000,0.004820,0.006674
11,2147,50,1.000000,0.552941,0.082860,6.673225,20.000000,0.000001,0.000010
12,2371,50,1.000000,0.416123,0.085336,4.876296,20.000000,0.000046,0.000144
13,2447,50,1.000000,0.426267,0.066819,6.379416,20.000000,0.000002,0.000010
14,1345,50,1.000000,0.351627,0.085479,4.113629,20.000000,0.000270,0.000693
15,2065,50,1.000000,0.403267,0.100861,3.998266,20.000000,0.000353,0.000706
16,2222,50,1.000000,0.567083,0.193109,2.936593,20.000000,0.004079,0.006119
17,1615,50,1.000000,0.500455,0.078782,6.352410,20.000000,0.000002,0.000010
18,1958,50,1.000000,0.302484,0.055868,5.414229,20.000000,0.000013,0.000060
