Contrast name:,Group (high)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],
,0.000000,0.000000,1.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,average ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,50,1.000000,1.126032,0.193531,5.818360,20.000000,0.000005,0.000012
2,1399,50,1.000000,0.936814,0.195888,4.782399,20.000000,0.000057,0.000085
3,4863,50,1.000000,1.053975,0.184232,5.720924,20.000000,0.000007,0.000013
4,5104,50,1.000000,0.500518,0.199225,2.512323,20.000000,0.010341,0.012409
5,888,50,1.000000,0.285617,0.118622,2.407785,20.000000,0.012911,0.014525
6,1015,50,1.000000,0.204624,0.104672,1.954908,20.000000,0.032358,0.034261
7,3526,50,1.000000,1.450448,0.206936,7.009164,20.000000,0.000000,0.000002
8,3381,50,1.000000,0.929575,0.144186,6.447074,20.000000,0.000001,0.000004
9,1858,50,1.000000,0.967449,0.142093,6.808572,20.000000,0.000001,0.000002
10,1770,50,1.000000,0.799696,0.155307,5.149141,20.000000,0.000024,0.000042
11,2147,50,1.000000,1.375748,0.161193,8.534793,20.000000,0.000000,0.000000
12,2371,50,1.000000,1.210749,0.155654,7.778450,20.000000,0.000000,0.000001
13,2447,50,1.000000,0.743361,0.106506,6.979514,20.000000,0.000000,0.000002
14,1345,50,1.000000,0.250671,0.132147,1.896906,20.000000,0.036188,0.036188
15,2065,50,1.000000,1.351213,0.232277,5.817257,20.000000,0.000005,0.000012
16,2222,50,1.000000,0.778805,0.225807,3.448981,20.000000,0.001269,0.001631
17,1615,50,1.000000,0.680480,0.132787,5.124612,20.000000,0.000026,0.000042
18,1958,50,1.000000,0.594096,0.129669,4.581631,20.000000,0.000090,0.000125
