Contrast name:,Group (jokelitjoke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[2;1],c[2;2],c[2;3],c[3;1],c[3;2],c[3;3],
,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,average ROI size,average localizer mask size,inter-subject overlap,h[1;1],h[1;2],h[1;3],stderr[1;1],stderr[1;2],stderr[1;3],T/F,dof,p,p-fdr
1,1038,50,1.000000,1.060712,0.892674,0.168038,0.170928,0.151699,0.054460,11.553195,18.000000,0.000187,0.000480
2,1399,50,1.000000,0.804357,0.639350,0.165007,0.153102,0.125970,0.059533,8.369587,18.000000,0.001074,0.001757
3,4863,50,1.000000,0.905846,0.547590,0.358256,0.177748,0.183167,0.089301,10.677973,18.000000,0.000292,0.000526
4,5104,50,1.000000,0.380053,0.191950,0.188104,0.127361,0.171995,0.092885,4.820036,18.000000,0.012351,0.015880
5,888,50,1.000000,0.195545,0.023944,0.171600,0.106694,0.102876,0.100759,1.247562,18.000000,0.321913,0.321913
6,1015,50,1.000000,0.146943,0.056428,0.090515,0.078694,0.104253,0.060837,1.899454,18.000000,0.165898,0.186635
7,3526,50,1.000000,1.337297,1.118420,0.218877,0.185260,0.170369,0.062954,15.765085,18.000000,0.000028,0.000164
8,3381,50,1.000000,0.779349,0.642392,0.136957,0.129811,0.124761,0.066309,10.815849,18.000000,0.000272,0.000526
9,1858,50,1.000000,0.842752,0.576697,0.266055,0.118683,0.093155,0.059456,15.126933,18.000000,0.000037,0.000164
10,1770,50,1.000000,0.630893,0.493095,0.137797,0.104088,0.094514,0.048361,11.053265,18.000000,0.000241,0.000526
11,2147,50,1.000000,1.230040,0.848175,0.381866,0.160553,0.168739,0.065595,25.884329,18.000000,0.000001,0.000009
12,2371,50,1.000000,1.090782,0.832173,0.258609,0.144464,0.165608,0.059736,26.927238,18.000000,0.000001,0.000009
13,2447,50,1.000000,0.585791,0.351278,0.234513,0.108477,0.095182,0.037862,13.595710,18.000000,0.000071,0.000255
14,1345,50,1.000000,0.111808,-0.075168,0.186976,0.099697,0.099866,0.050164,4.180058,18.000000,0.020693,0.024832
15,2065,50,1.000000,1.193025,1.006121,0.186904,0.198492,0.190585,0.052223,12.008192,18.000000,0.000149,0.000447
16,2222,50,1.000000,0.469422,0.266339,0.203083,0.118465,0.105285,0.067007,5.240305,18.000000,0.008928,0.012362
17,1400,50,1.000000,0.196445,-0.040542,0.236987,0.097529,0.092543,0.054578,5.715461,18.000000,0.006266,0.009399
18,1313,50,1.000000,-0.000410,-0.099875,0.099464,0.068039,0.082341,0.042955,1.612518,18.000000,0.221515,0.234545
