Contrast name:,Group (lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],
,0.000000,1.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,average ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,50,1.000000,0.892674,0.151699,5.884511,20.000000,0.000005,0.000028
2,1399,50,1.000000,0.639350,0.125970,5.075403,20.000000,0.000029,0.000065
3,4863,50,1.000000,0.547590,0.183167,2.989565,20.000000,0.003622,0.005927
4,5104,50,1.000000,0.191950,0.171995,1.116020,20.000000,0.138822,0.192214
5,888,50,1.000000,0.023944,0.102876,0.232750,20.000000,0.409160,0.490992
6,1015,50,1.000000,0.056428,0.104253,0.541266,20.000000,0.297152,0.382052
7,3526,50,1.000000,1.118420,0.170369,6.564688,20.000000,0.000001,0.000019
8,3381,50,1.000000,0.642392,0.124761,5.148991,20.000000,0.000024,0.000065
9,1858,50,1.000000,0.576697,0.093155,6.190714,20.000000,0.000002,0.000021
10,1770,50,1.000000,0.493095,0.094514,5.217160,20.000000,0.000021,0.000065
11,2147,50,1.000000,0.848175,0.168739,5.026544,20.000000,0.000032,0.000065
12,2371,50,1.000000,0.832173,0.165608,5.024965,20.000000,0.000032,0.000065
13,2447,50,1.000000,0.351278,0.095182,3.690600,20.000000,0.000724,0.001304
14,1345,50,1.000000,-0.075168,0.099866,-0.752683,20.000000,0.769796,0.815078
15,2065,50,1.000000,1.006121,0.190585,5.279122,20.000000,0.000018,0.000065
16,2222,50,1.000000,0.266339,0.105285,2.529701,20.000000,0.009963,0.014945
17,1400,50,1.000000,-0.040542,0.092543,-0.438092,20.000000,0.666993,0.750367
18,1313,50,1.000000,-0.099875,0.082341,-1.212944,20.000000,0.880358,0.880358
