Contrast name:,Group (H)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],
,1.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,1.300780,0.292763,4.443123,14.000000,0.000278,0.000314
2,1399,139,1.000000,2.084442,0.226698,9.194798,14.000000,0.000000,0.000001
3,4863,486,1.000000,1.492018,0.256547,5.815775,14.000000,0.000022,0.000040
4,5104,510,1.000000,1.894791,0.332512,5.698411,14.000000,0.000028,0.000045
5,888,88,1.000000,0.699355,0.157464,4.441356,14.000000,0.000279,0.000314
6,1015,101,1.000000,0.964422,0.186192,5.179709,14.000000,0.000070,0.000097
7,3526,352,1.000000,2.224852,0.262763,8.467156,14.000000,0.000000,0.000001
8,3381,338,1.000000,2.286734,0.277114,8.251960,14.000000,0.000000,0.000001
9,1858,185,1.000000,0.809562,0.155913,5.192409,14.000000,0.000068,0.000097
10,1770,177,1.000000,0.902941,0.183469,4.921478,14.000000,0.000113,0.000145
11,2147,214,1.000000,1.306754,0.196294,6.657124,14.000000,0.000005,0.000012
12,2371,237,1.000000,1.392307,0.217175,6.411003,14.000000,0.000008,0.000016
13,2447,244,1.000000,1.865750,0.141440,13.191098,14.000000,0.000000,0.000000
14,1345,134,1.000000,1.989236,0.222453,8.942274,14.000000,0.000000,0.000001
15,2065,206,1.000000,3.183555,0.279712,11.381530,14.000000,0.000000,0.000000
16,2222,222,1.000000,2.945108,0.305069,9.653897,14.000000,0.000000,0.000000
17,1400,140,1.000000,0.201178,0.129420,1.554462,14.000000,0.071192,0.075380
18,1313,131,1.000000,0.137708,0.127080,1.083625,14.000000,0.148421,0.148421
